Location,Latitude,Longitude
"LC-39A, Kennedy Space Center, Florida, USA",30.919409,-87.314059
"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",35.0,105.0
"Pad A, Boca Chica, Texas, USA",30.056755,-94.098334
"Site 200/39, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"SLC-41, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151
"LC-9, Taiyuan Satellite Launch Center, China",35.0,105.0
"Site 31/6, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"LC-101, Wenchang Satellite Launch Center, China",35.0,105.0
"SLC-40, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151
"LA-Y1, Tanegashima Space Center, Japan",35.68536,139.75309
"LP-0B, Wallops Flight Facility, Virginia, USA",37.94074,-75.46742
"Site 95, Jiuquan Satellite Launch Center, China",40.964989,100.2838215
"LC-3, Xichang Satellite Launch Center, China",35.0,105.0
"Pad 1, Palmachim Airbase, Israel",31.5,34.75
"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",-42.03333,173.85
"LC-2, Xichang Satellite Launch Center, China",35.0,105.0
"Xichang Satellite Launch Center, China",28.2457616,102.027938
"Cosmic Girl, Mojave Air and Space Port, California, USA",35.073026,-117.964936
"Site 43/4, Plesetsk Cosmodrome, Russia",60.0,100.0
"LA-Y2, Tanegashima Space Center, Japan",35.68536,139.75309
"Launch Plateform, Shahrud Missile Test Site",36.426529, 54.968635
"LC-201, Wenchang Satellite Launch Center, China",35.0,105.0
"Site 43/3, Plesetsk Cosmodrome, Russia",60.0,100.0
"ELA-3, Guiana Space Centre, French Guiana, France",16.239121,-61.365446
"LP-0A, Wallops Flight Facility, Virginia, USA",37.94074,-75.46742
"Imam Khomeini Spaceport, Semnan Space Center, Iran",32.0,53.0
"Site 133/3, Plesetsk Cosmodrome, Russia",60.0,100.0
"Site 81/24, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"ELS, Guiana Space Centre, French Guiana, France",16.239121,-61.365446
"Blue Origin Launch Site, West Texas, Texas, USA",31.80238,-97.09167
"First Launch Pad, Satish Dhawan Space Centre, India",22.0,79.0
"Taiyuan Satellite Launch Center, China",35.0,105.0
"Second Launch Pad, Satish Dhawan Space Centre, India",22.0,79.0
"LC-16, Taiyuan Satellite Launch Center, China",35.0,105.0
"Vertical Launch Area, Spaceport America, New Mexico",32.291119,-106.75377
"Stargazer, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151
"Site 1/5, Baikonur Cosmodrome, Kazakhstan",46.0,63.25
"SLC-37B, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151
"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",47.894349,1.845043
