location,latitude,longitude,location_id,country_id
"LC-39A, Kennedy Space Center, Florida, USA",30.919409,-87.314059,0,238
"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",35.0,105.0,1,47
"Pad A, Boca Chica, Texas, USA",30.056755,-94.098334,2,238
"Site 200/39, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,3,116
"SLC-41, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151,4,238
"LC-9, Taiyuan Satellite Launch Center, China",35.0,105.0,5,47
"Site 31/6, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,6,116
"LC-101, Wenchang Satellite Launch Center, China",35.0,105.0,7,47
"SLC-40, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151,8,238
"LA-Y1, Tanegashima Space Center, Japan",35.68536,139.75309,9,113
"LP-0B, Wallops Flight Facility, Virginia, USA",37.94074,-75.46742,10,238
"Site 95, Jiuquan Satellite Launch Center, China",40.964989,100.2838215,11,47
"LC-3, Xichang Satellite Launch Center, China",35.0,105.0,12,47
"Pad 1, Palmachim Airbase, Israel",31.5,34.75,13,110
"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",-42.03333,173.85,14,157
"LC-2, Xichang Satellite Launch Center, China",35.0,105.0,15,47
"Xichang Satellite Launch Center, China",28.2457616,102.027938,16,47
"Cosmic Girl, Mojave Air and Space Port, California, USA",35.073026,-117.964936,17,238
"Site 43/4, Plesetsk Cosmodrome, Russia",60.0,100.0,18,183
"LA-Y2, Tanegashima Space Center, Japan",35.68536,139.75309,19,113
"Launch Plateform, Shahrud Missile Test Site",36.426529,54.968635,20,106
"LC-201, Wenchang Satellite Launch Center, China",35.0,105.0,21,47
"Site 43/3, Plesetsk Cosmodrome, Russia",60.0,100.0,22,183
"ELA-3, Guiana Space Centre, French Guiana, France",16.239121,-61.365446,23,78
"LP-0A, Wallops Flight Facility, Virginia, USA",37.94074,-75.46742,24,238
"Imam Khomeini Spaceport, Semnan Space Center, Iran",32.0,53.0,25,106
"Site 133/3, Plesetsk Cosmodrome, Russia",60.0,100.0,26,183
"Site 81/24, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,27,116
"ELS, Guiana Space Centre, French Guiana, France",16.239121,-61.365446,28,78
"Blue Origin Launch Site, West Texas, Texas, USA",31.80238,-97.09167,29,238
"First Launch Pad, Satish Dhawan Space Centre, India",22.0,79.0,30,104
"Taiyuan Satellite Launch Center, China",35.0,105.0,31,47
"Second Launch Pad, Satish Dhawan Space Centre, India",22.0,79.0,32,104
"LC-16, Taiyuan Satellite Launch Center, China",35.0,105.0,33,47
"Vertical Launch Area, Spaceport America, New Mexico",32.291119,-106.75377,34,238
"Stargazer, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151,35,238
"Site 1/5, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,36,116
"SLC-37B, Cape Canaveral AFS, Florida, USA",28.39402,-80.603151,37,238
"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",47.894349,1.845043,38,78
"Site 1S, Vostochny Cosmodrome, Russia",51.8531816,128.3451379,39,183
"SLC-4E, Vandenberg AFB, California, USA",34.66324,-118.190974,40,238
"Tai Rui Barge, Yellow Sea",36.0,124.0,41,47
"SLC-6, Vandenberg AFB, California, USA",35.927928,-120.503852,42,238
"Mu Pad, Uchinoura Space Center, Japan",35.68536,139.75309,43,113
"SLC-2W, Vandenberg AFB, California, USA",34.66324,-118.190974,44,238
