country_id,intensity_level,side_a,side_b,year,conflict_id
104,1,Government of India,GNLA,2012,0
104,1,Government of India,GNLA,2014,1
67,2,Government of Egypt,Government of Israel,1967,2
67,1,Government of Egypt,Government of Israel,1969,3
67,1,Government of Egypt,Government of Israel,1970,4
67,2,Government of Egypt,Government of Israel,1973,5
212,1,Government of Sudan,Republic of South Sudan,2011,6
202,1,Government of South Sudan,"SSDM/A, SSLM/A",2011,7
202,1,Government of South Sudan,SSLM/A,2012,8
202,1,Government of South Sudan,"SPLM/A - IO, SSDM/A - Cobra Faction",2013,9
202,2,Government of South Sudan,SPLM/A - IO,2014,10
202,1,Government of South Sudan,SPLM/A - IO,2015,11
202,1,Government of South Sudan,SPLM/A - IO,2016,12
202,1,Government of South Sudan,SPLM/A - IO,2017,13
202,1,Government of South Sudan,SPLM/A - IO,2018,14
202,1,Government of South Sudan,NAS,2019,15
202,1,Government of South Sudan,NAS,2020,16
202,1,Government of South Sudan,"NAS, SPLM/A - IO - Kitgwang",2021,17
126,2,Government of Libya,"Forces of Muammar Gaddafi, NTC",2011,18
126,1,Government of Libya,ASL,2013,19
126,1,Government of Libya,"Forces of the House of Representatives, Zintan Military Council",2014,20
126,1,Government of Libya,Forces of the House of Representatives,2015,21
126,1,Government of Libya,"Forces of Khalifa al-Ghawil, Forces of the House of Representatives, PFLL",2017,22
126,2,Government of Libya,Forces of the House of Representatives,2019,23
126,1,Government of Libya,Forces of the House of Representatives,2020,24
135,1,Government of Mali,AQIM,2009,25
135,1,Government of Mali,"Ansar Dine, Military faction (Red Berets)",2012,26
135,1,Government of Mali,"Ansar Dine, AQIM, MUJAO, Signed-in-Blood Battalion",2013,27
135,1,Government of Mali,"al-Murabitun, AQIM",2014,28
135,1,Government of Mali,"Ansar Dine, AQIM",2015,29
135,1,Government of Mali,"Ansar Dine, AQIM",2016,30
135,1,Government of Mali,"AQIM, JNIM",2017,31
135,1,Government of Mali,JNIM,2018,32
135,1,Government of Mali,JNIM,2019,33
135,1,Government of Mali,JNIM,2020,34
135,1,Government of Mali,JNIM,2021,35
135,2,Government of Mali,JNIM,2022,36
135,1,Government of Mali,JNIM,2023,37
202,1,Government of South Sudan,Government of Sudan,2012,38
47,1,Government of China,ETIM,2008,39
19,1,Government of Bangladesh,"PBCP, PBCP-J",2005,40
19,1,Government of Bangladesh,PBCP-J,2006,41
73,1,Government of Ethiopia,IGLF,1991,42
151,1,Government of Myanmar (Burma),NSCN-K,1991,43
151,1,Government of Myanmar (Burma),NSCN-K,1995,44
151,1,Government of Myanmar (Burma),NSCN-K,2000,45
151,1,Government of Myanmar (Burma),NSCN-K,2001,46
151,1,Government of Myanmar (Burma),NSCN-K,2005,47
151,1,Government of Myanmar (Burma),NSCN-K,2006,48
151,1,Government of Myanmar (Burma),NSCN-K,2007,49
133,1,Government of Malaysia,Sultanate of Sulu,2013,50
104,2,Government of Hyderabad,CPI,1947,51
104,2,Government of Hyderabad,CPI,1948,52
217,1,Government of Syria,PYD,2012,53
217,1,Government of Syria,PYD,2013,54
217,1,Government of Syria,PYD,2014,55
217,1,Government of Syria,PYD,2015,56
235,1,Government of Ukraine,Maidan,2014,57
183,2,Government of Russia (Soviet Union),Government of Ukraine,2022,58
183,2,Government of Russia (Soviet Union),Government of Ukraine,2023,59
235,2,Government of Ukraine,DPR,2014,60
235,2,Government of Ukraine,LPR,2014,61
235,2,Government of Ukraine,United Armed Forces of Novorossiya,2014,62
235,2,Government of Ukraine,"DPR, LPR, United Armed Forces of Novorossiya",2015,63
235,1,Government of Ukraine,"DPR, LPR",2016,64
235,1,Government of Ukraine,"DPR, LPR",2017,65
235,1,Government of Ukraine,"DPR, LPR",2018,66
235,1,Government of Ukraine,"DPR, LPR",2019,67
235,1,Government of Ukraine,"DPR, LPR",2020,68
235,1,Government of Ukraine,"DPR, LPR",2021,69
235,1,Government of Ukraine,DPR,2022,70
120,1,Government of Kyrgyzstan,Government of Tajikistan,2021,71
120,1,Government of Kyrgyzstan,Government of Tajikistan,2022,72
183,1,Government of Russia (Soviet Union),IS,2015,73
183,1,Government of Russia (Soviet Union),IS,2016,74
183,1,Government of Russia (Soviet Union),IS,2017,75
183,1,Government of Russia (Soviet Union),IS,2018,76
183,1,Government of Russia (Soviet Union),IS,2019,77
183,1,Government of Russia (Soviet Union),IS,2020,78
217,2,Government of Syria,IS,2013,79
217,2,Government of Syria,IS,2014,80
217,2,Government of Syria,IS,2015,81
217,2,Government of Syria,IS,2016,82
217,2,Government of Syria,IS,2017,83
217,2,Government of Syria,IS,2018,84
217,1,Government of Syria,IS,2019,85
217,2,Government of Syria,IS,2020,86
217,1,Government of Syria,IS,2021,87
217,1,Government of Syria,IS,2022,88
217,1,Government of Syria,IS,2023,89
135,1,Government of Mali,FLM,2015,90
1,1,Government of Afghanistan,IS,2015,91
1,2,Government of Afghanistan,IS,2016,92
1,2,Government of Afghanistan,IS,2017,93
1,2,Government of Afghanistan,IS,2018,94
1,2,Government of Afghanistan,IS,2019,95
1,1,Government of Afghanistan,IS,2020,96
1,1,Government of Afghanistan,IS,2021,97
1,1,Government of Afghanistan,IS,2022,98
1,1,Government of Afghanistan,IS,2023,99
39,1,Government of Cameroon,IS,2015,100
39,1,Government of Cameroon,IS,2016,101
39,1,Government of Cameroon,IS,2019,102
39,1,Government of Cameroon,IS,2021,103
39,1,Government of Cameroon,IS,2023,104
159,1,Government of Niger,IS,2015,105
159,1,Government of Niger,IS,2016,106
159,1,Government of Niger,IS,2017,107
159,1,Government of Niger,IS,2018,108
159,1,Government of Niger,IS,2019,109
159,1,Government of Niger,IS,2020,110
159,1,Government of Niger,IS,2021,111
159,1,Government of Niger,IS,2022,112
159,1,Government of Niger,IS,2023,113
45,1,Government of Chad,IS,2015,114
45,1,Government of Chad,IS,2017,115
45,1,Government of Chad,IS,2018,116
45,1,Government of Chad,IS,2019,117
45,1,Government of Chad,IS,2020,118
45,1,Government of Chad,IS,2021,119
45,1,Government of Chad,IS,2022,120
160,2,Government of Nigeria,IS,2015,121
160,2,Government of Nigeria,IS,2016,122
160,1,Government of Nigeria,IS,2017,123
160,1,Government of Nigeria,IS,2018,124
160,2,Government of Nigeria,IS,2019,125
160,2,Government of Nigeria,IS,2020,126
160,2,Government of Nigeria,IS,2021,127
160,2,Government of Nigeria,IS,2022,128
160,2,Government of Nigeria,IS,2023,129
247,1,Government of Yemen (North Yemen),IS,2015,130
247,1,Government of Yemen (North Yemen),IS,2017,131
247,1,Government of Yemen (North Yemen),IS,2020,132
117,1,Government of Kenya,Al-Shabaab,2015,133
117,1,Government of Kenya,Al-Shabaab,2016,134
117,1,Government of Kenya,Al-Shabaab,2017,135
117,1,Government of Kenya,Al-Shabaab,2018,136
117,1,Government of Kenya,Al-Shabaab,2019,137
117,1,Government of Kenya,Al-Shabaab,2020,138
117,1,Government of Kenya,Al-Shabaab,2021,139
117,1,Government of Kenya,Al-Shabaab,2022,140
117,1,Government of Kenya,Al-Shabaab,2023,141
67,1,Government of Egypt,IS,2015,142
67,1,Government of Egypt,IS,2016,143
67,1,Government of Egypt,IS,2017,144
67,1,Government of Egypt,IS,2018,145
67,1,Government of Egypt,IS,2019,146
67,1,Government of Egypt,IS,2020,147
67,1,Government of Egypt,IS,2021,148
67,1,Government of Egypt,IS,2022,149
104,1,Government of India,UNLFW,2015,150
104,1,Government of India,UNLFW,2016,151
104,1,Government of India,UNLFW,2017,152
104,1,Government of India,UNLFW,2018,153
19,1,Government of Bangladesh,IS,2016,154
19,1,Government of Bangladesh,IS,2017,155
123,1,Government of Lebanon,IS,2014,156
123,1,Government of Lebanon,IS,2015,157
123,1,Government of Lebanon,IS,2017,158
1,2,Government of Afghanistan,"Government of United Kingdom, Government of United States of America",2001,159
126,1,Government of Libya,IS,2015,160
126,2,Government of Libya,IS,2016,161
126,1,Government of Libya,IS,2017,162
126,1,Government of Libya,IS,2018,163
126,1,Government of Libya,IS,2019,164
4,1,Government of Algeria,IS,2015,165
217,1,Government of Syria,SDF,2016,166
217,1,Government of Syria,SDF,2018,167
217,1,Government of Syria,SDF,2023,168
36,1,Government of Burkina Faso,IS,2019,169
36,1,Government of Burkina Faso,IS,2020,170
36,1,Government of Burkina Faso,IS,2021,171
36,1,Government of Burkina Faso,IS,2022,172
36,1,Government of Burkina Faso,IS,2023,173
115,1,Government of Jordan,IS,2016,174
228,1,Government of Turkey,IS,2015,175
228,2,Government of Turkey,IS,2016,176
228,1,Government of Turkey,IS,2017,177
168,1,Government of Pakistan,IS,2016,178
168,1,Government of Pakistan,IS,2017,179
168,1,Government of Pakistan,IS,2018,180
168,1,Government of Pakistan,IS,2019,181
168,1,Government of Pakistan,IS,2021,182
168,1,Government of Pakistan,IS,2022,183
168,1,Government of Pakistan,IS,2023,184
198,1,Government of Somalia,Republic of Somaliland,2018,185
135,1,Government of Mali,IS,2017,186
135,1,Government of Mali,IS,2018,187
135,1,Government of Mali,IS,2019,188
135,1,Government of Mali,IS,2020,189
135,1,Government of Mali,IS,2021,190
135,1,Government of Mali,IS,2022,191
135,1,Government of Mali,IS,2023,192
39,1,Government of Cameroon,Ambazonia insurgents,2017,193
39,1,Government of Cameroon,Ambazonia insurgents,2018,194
39,1,Government of Cameroon,Ambazonia insurgents,2019,195
39,1,Government of Cameroon,Ambazonia insurgents,2020,196
39,1,Government of Cameroon,Ambazonia insurgents,2021,197
39,1,Government of Cameroon,Ambazonia insurgents,2022,198
39,1,Government of Cameroon,Ambazonia insurgents,2023,199
198,1,Government of Somalia,IS,2019,200
198,1,Government of Somalia,IS,2020,201
198,1,Government of Somalia,IS,2021,202
106,1,Government of Iran,IS,2017,203
175,1,Government of Philippines,IS,2016,204
175,2,Government of Philippines,IS,2017,205
175,1,Government of Philippines,IS,2018,206
175,1,Government of Philippines,IS,2019,207
175,1,Government of Philippines,IS,2020,208
175,1,Government of Philippines,IS,2021,209
175,1,Government of Philippines,IS,2022,210
175,1,Government of Philippines,IS,2023,211
227,1,Government of Tunisia,IS,2016,212
106,1,Government of Iran,Government of Israel,2018,213
106,1,Government of Iran,Government of Israel,2019,214
106,1,Government of Iran,Government of Israel,2020,215
106,1,Government of Iran,Government of Israel,2021,216
106,1,Government of Iran,Government of Israel,2022,217
106,1,Government of Iran,Government of Israel,2023,218
52,1,Government of DR Congo (Zaire),IS,2017,219
52,1,Government of DR Congo (Zaire),IS,2018,220
52,1,Government of DR Congo (Zaire),IS,2019,221
52,1,Government of DR Congo (Zaire),IS,2020,222
52,1,Government of DR Congo (Zaire),IS,2021,223
52,1,Government of DR Congo (Zaire),IS,2022,224
52,1,Government of DR Congo (Zaire),IS,2023,225
150,1,Government of Mozambique,IS,2019,226
150,1,Government of Mozambique,IS,2020,227
150,1,Government of Mozambique,IS,2021,228
150,1,Government of Mozambique,IS,2022,229
150,1,Government of Mozambique,IS,2023,230
73,1,Government of Ethiopia,Military faction (forces of Asaminew Tsige),2019,231
220,1,Government of Tanzania,IS,2020,232
24,1,Government of Benin,JNIM,2022,233
24,1,Government of Benin,JNIM,2023,234
44,1,Government of Central African Republic,FPRC,2015,235
44,1,Government of Central African Republic,MPC,2023,236
234,1,Government of Uganda,IS,2022,237
135,1,Government of Mali,CSP-PSD,2023,238
73,2,Government of Ethiopia,Fano,2023,239
27,2,Government of Bolivia,Popular Revolutionary Movement,1946,240
27,1,Government of Bolivia,MNR,1949,241
27,1,Government of Bolivia,MNR,1952,242
27,1,Government of Bolivia,ELN,1967,243
38,1,Government of France,Khmer Issarak,1946,244
38,1,Government of France,Khmer Issarak,1947,245
38,1,Government of France,Khmer Issarak,1948,246
38,1,Government of France,Khmer Issarak,1949,247
38,1,Government of France,Khmer Issarak,1950,248
38,1,Government of France,Khmer Issarak,1951,249
38,1,Government of France,Khmer Issarak,1952,250
38,1,Government of France,Khmer Issarak,1953,251
47,2,Government of China,PLA,1946,252
47,2,Government of China,PLA,1947,253
47,2,Government of China,PLA,1948,254
47,2,Government of China,PLA,1949,255
88,2,Government of Greece,DSE,1946,256
88,2,Government of Greece,DSE,1947,257
88,2,Government of Greece,DSE,1948,258
88,2,Government of Greece,DSE,1949,259
105,1,Government of Netherlands,Indonesian People's Army,1946,260
105,1,Government of Netherlands,Indonesian People's Army,1947,261
105,1,Government of Netherlands,Indonesian People's Army,1948,262
105,1,Government of Netherlands,Indonesian People's Army,1949,263
106,1,Government of Iran,KDPI,1946,264
106,1,Government of Iran,KDPI,1966,265
106,1,Government of Iran,KDPI,1967,266
106,1,Government of Iran,KDPI,1968,267
106,2,Government of Iran,KDPI,1979,268
106,2,Government of Iran,KDPI,1980,269
106,1,Government of Iran,KDPI,1981,270
106,2,Government of Iran,KDPI,1982,271
106,1,Government of Iran,KDPI,1983,272
106,1,Government of Iran,KDPI,1984,273
106,1,Government of Iran,KDPI,1985,274
106,1,Government of Iran,KDPI,1986,275
106,1,Government of Iran,KDPI,1987,276
106,1,Government of Iran,KDPI,1988,277
106,1,Government of Iran,KDPI,1990,278
106,1,Government of Iran,KDPI,1993,279
106,1,Government of Iran,KDPI,1996,280
106,1,Government of Iran,KDPI,2016,281
106,1,Government of Iran,KDPI,2018,282
106,1,Government of Iran,Republic of Azerbaijan,1946,283
110,1,Government of United Kingdom,IZL [Etzel],1946,284
121,1,Government of France,Lao Issara,1946,285
121,1,Government of France,Lao Issara,1947,286
121,1,Government of France,Lao Issara,1948,287
121,1,Government of France,Lao Issara,1949,288
121,1,Government of France,Lao Issara,1950,289
121,1,Government of France,Lao Issara,1951,290
121,1,Government of France,Lao Issara,1952,291
121,1,Government of France,Lao Issara,1953,292
175,2,Government of Philippines,Huk,1946,293
175,2,Government of Philippines,Huk,1947,294
175,2,Government of Philippines,Huk,1948,295
175,2,Government of Philippines,Huk,1949,296
175,2,Government of Philippines,Huk,1950,297
175,2,Government of Philippines,Huk,1951,298
175,2,Government of Philippines,Huk,1952,299
175,2,Government of Philippines,Huk,1953,300
175,2,Government of Philippines,Huk,1954,301
