id,date,detail,rocket_status,price,mission_status,wind_speed,humidity,temperature,location,latitude,longitude,country_id,organisation,isprivate,country,cluster
0,2020-08-07,Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,50.0,Success,5.33923,75.4536,5.10021,"LC-39A, Kennedy Space Center, Florida, USA",30.9194,-87.3141,238,SpaceX,1,United States,0
1,2020-08-06,Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75,Success,8.35946,51.0117,5.46586,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",35.0,105.0,47,CASC,0,China,1
2,2020-08-04,Starship Prototype | 150 Meter Hop,StatusActive,,Success,11.748,56.7506,20.5483,"Pad A, Boca Chica, Texas, USA",30.0568,-94.0983,238,SpaceX,1,United States,4
3,2020-07-30,Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65.0,Success,13.0041,69.0498,-1.34319,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,116,Roscosmos,0,Kazakhstan,1
4,2020-07-30,Atlas V 541 | Perseverance,StatusActive,145.0,Success,5.58771,60.5856,18.0213,"SLC-41, Cape Canaveral AFS, Florida, USA",28.394,-80.6031,238,ULA,1,United States,4
5,2020-07-25,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68,Success,13.061,67.4423,14.0833,"LC-9, Taiyuan Satellite Launch Center, China",35.0,105.0,47,CASC,0,China,1
6,2020-07-23,Soyuz 2.1a | Progress MS-15,StatusActive,48.5,Success,6.15665,51.8134,17.4329,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",46.0,63.25,116,Roscosmos,0,Kazakhstan,2
7,2020-07-23,Long March 5 | Tianwen-1,StatusActive,,Success,14.2138,85.1031,-2.6503,"LC-101, Wenchang Satellite Launch Center, China",35.0,105.0,47,CASC,0,China,1
8,2020-07-20,Falcon 9 Block 5 | ANASIS-II,StatusActive,50.0,Success,2.1549,54.0808,17.5218,"SLC-40, Cape Canaveral AFS, Florida, USA",28.394,-80.6031,238,SpaceX,1,United States,4
9,2020-07-19,H-IIA 202 | Hope Mars Mission,StatusActive,90.0,Success,13.1165,53.6065,8.54845,"LA-Y1, Tanegashima Space Center, Japan",35.6854,139.753,113,JAXA,0,Japan,1
10,2020-07-15,Minotaur IV | NROL-129,StatusActive,46.0,Success,9.20037,42.6035,15.6143,"LP-0B, Wallops Flight Facility, Virginia, USA",37.9407,-75.4674,238,Northrop,1,United States,4
11,2020-07-10,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3,Failure,12.465,74.5372,12.2669,"Site 95, Jiuquan Satellite Launch Center, China",40.965,100.284,47,ExPace,0,China,1
12,2020-07-09,Long March 3B/E | Apstar-6D,StatusActive,29.15,Success,6.83087,63.7238,20.2298,"LC-3, Xichang Satellite Launch Center, China",35.0,105.0,47,CASC,0,China,1
13,2020-07-06,Shavit-2 | Ofek-16,StatusActive,,Success,8.54774,50.1294,23.3767,"Pad 1, Palmachim Airbase, Israel",31.5,34.75,110,IAI,0,Israel,4
14,2020-07-04,Long March 2D | Shiyan-6 02,StatusActive,29.75,Success,14.4296,64.0805,-2.98005,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",35.0,105.0,47,CASC,0,China,1
15,2020-07-04,Electron/Curie | Pics Or It Didn??¦t Happen,StatusActive,7.5,Failure,11.6522,55.708,3.34434,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",-42.0333,173.85,157,Rocket Lab,1,New Zealand,1
16,2020-07-03,Long March 4B | Gaofen Duomo & BY-02,StatusActive,64.68,Success,13.0574,61.6803,0.655709,"LC-9, Taiyuan Satellite Launch Center, China",35.0,105.0,47,CASC,0,China,1
17,2020-06-30,Falcon 9 Block 5 | GPS III SV03,StatusActive,50.0,Success,5.87667,76.3955,5.25363,"SLC-40, Cape Canaveral AFS, Florida, USA",28.394,-80.6031,238,SpaceX,1,United States,0
18,2020-06-23,Long March 3B/E | Beidou-3 G3,StatusActive,29.15,Success,12.7526,54.6277,24.9775,"LC-2, Xichang Satellite Launch Center, China",35.0,105.0,47,CASC,0,China,1
19,2020-06-17,"Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5",StatusActive,29.75,Success,14.5402,81.8985,-3.04141,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",35.0,105.0,47,CASC,0,China,1
